user_id,investment_goal_long_term_growth,investment_goal_stable_income,investment_goal_balanced_approach,investment_goal_high_risk_high_reward,investment_goal_short_term_trading,risk_tolerance,holding_period_response,holding_period_reaction_strength,expected_return_score,product_preference_equities,product_preference_government_bonds,product_preference_corporate_bonds,product_preference_municipal_bonds,product_preference_savings_bonds,product_preference_derivatives,product_preference_alternative_investments,factor_weight_investment_goals,factor_weight_risk_tolerance,factor_weight_holding_period,factor_weight_return_score,factor_weight_product_preference,factor_weight_allocation_strength
54,0.05,0.11,0.44,0.23,0.17,1.05,10.0,7.88,6.93,2.14,20.63,19.37,9.47,5.24,13.24,29.91,23.03,9.89,5.35,33.48,7.62,20.63
55,0.05,0.52,0.11,0.08,0.24,2.85,6.67,1.99,1.59,12.7,10.73,20.42,21.53,2.64,12.25,19.73,24.98,7.21,15.11,27.75,5.06,19.89
56,0.09,0.18,0.23,0.18,0.32,4.11,6.67,6.97,5.11,8.65,19.38,17.48,13.05,12.53,12.13,16.78,13.6,2.97,28.24,23.66,23.75,7.78
57,0.01,0.38,0.27,0.25,0.09,4.52,1.0,1.92,1.05,20.88,19.97,15.83,23.8,1.34,6.52,11.66,6.85,10.9,20.08,17.55,24.81,19.81
58,0.28,0.29,0.15,0.15,0.13,6.01,10.0,2.69,7.56,13.12,19.13,12.3,21.26,7.35,16.83,10.01,22.76,10.97,15.41,17.4,16.68,16.78
59,0.06,0.35,0.36,0.19,0.04,2.09,6.67,1.19,1.64,9.21,21.86,12.72,7.24,14.53,15.95,18.49,15.79,25.93,14.04,6.24,23.94,14.06
60,0.26,0.07,0.04,0.37,0.26,8.61,1.0,2.46,2.74,28.83,23.38,11.57,2.65,5.74,18.83,9.0,26.86,25.28,17.62,3.45,25.88,0.91
61,0.07,0.28,0.3,0.05,0.3,1.43,1.0,1.6,8.4,18.62,24.45,15.73,1.27,15.13,12.85,11.95,12.9,15.96,4.35,20.33,25.95,20.51
62,0.21,0.33,0.18,0.25,0.03,6.03,6.67,2.57,1.92,11.13,17.65,16.47,20.55,16.33,8.65,9.22,3.24,15.35,0.45,15.58,37.26,28.12
63,0.36,0.14,0.12,0.02,0.36,5.0,1.0,5.73,2.86,24.94,28.4,5.82,26.37,10.17,2.95,1.35,19.85,0.67,9.84,33.53,18.67,17.44
64,0.03,0.34,0.0,0.32,0.31,6.06,6.67,4.68,1.58,8.22,27.42,28.95,9.15,9.68,3.62,12.96,8.85,13.27,22.0,22.43,11.38,22.07
65,0.17,0.11,0.18,0.29,0.25,2.38,10.0,6.76,3.65,12.4,13.72,14.43,4.25,18.29,18.2,18.71,20.46,16.93,18.74,9.37,20.74,13.76
66,0.29,0.18,0.12,0.14,0.27,7.52,1.0,6.42,1.81,18.37,2.03,8.13,25.7,17.8,19.11,8.86,28.44,10.06,22.88,26.06,3.24,9.32
67,0.3,0.23,0.12,0.2,0.15,4.04,6.67,8.72,4.35,16.08,25.0,18.38,20.47,9.39,10.29,0.39,29.25,8.45,8.86,20.34,28.59,4.51
68,0.26,0.25,0.13,0.1,0.26,8.77,6.67,6.57,5.85,23.72,20.33,16.86,2.38,17.97,5.72,13.02,32.5,20.73,12.4,4.37,11.72,18.28
69,0.27,0.12,0.34,0.18,0.09,7.33,3.33,5.25,9.27,2.95,19.2,5.02,19.93,7.5,27.37,18.03,21.79,28.92,27.97,11.78,4.74,4.8
70,0.22,0.17,0.27,0.21,0.13,5.08,10.0,8.03,5.73,20.85,10.95,12.67,9.42,15.87,9.84,20.4,13.16,4.43,34.99,20.9,12.52,14.0
71,0.27,0.24,0.1,0.21,0.18,8.15,3.33,7.49,8.58,18.07,0.27,26.75,10.83,13.77,5.57,24.74,5.01,21.71,14.83,19.56,18.52,20.37
72,0.11,0.05,0.58,0.21,0.05,5.4,3.33,6.28,1.23,7.41,7.53,22.68,28.01,0.7,18.71,14.96,22.57,18.2,16.21,1.99,22.41,18.62
73,0.12,0.18,0.06,0.45,0.19,7.77,10.0,4.46,6.23,17.77,19.75,8.85,16.91,2.98,19.54,14.2,12.86,2.79,37.23,13.83,4.79,28.5
74,0.21,0.07,0.33,0.16,0.23,7.31,6.67,4.65,6.86,16.42,15.57,18.15,17.25,3.49,3.23,25.89,18.61,22.41,11.6,5.08,9.24,33.06
75,0.17,0.3,0.31,0.05,0.17,7.05,10.0,1.36,5.3,10.04,18.55,22.37,14.96,0.54,10.51,23.03,21.17,16.17,20.11,3.61,15.27,23.67
76,0.12,0.12,0.49,0.01,0.26,9.45,1.0,4.89,5.29,15.47,10.87,12.23,16.99,18.2,13.97,12.27,20.81,22.12,5.09,18.12,11.42,22.44
77,0.36,0.13,0.4,0.01,0.1,6.02,6.67,2.15,9.36,11.19,4.03,21.71,10.11,17.05,19.96,15.95,3.82,4.89,7.45,26.16,30.57,27.11
78,0.11,0.06,0.22,0.45,0.16,4.03,3.33,2.41,1.29,15.37,17.98,14.27,12.87,11.18,15.22,13.11,17.83,22.83,10.84,22.96,8.85,16.69
79,0.08,0.16,0.24,0.2,0.32,3.07,3.33,7.48,1.32,9.37,17.47,10.25,9.54,17.6,20.31,15.46,12.3,13.53,7.61,31.84,31.26,3.46
80,0.1,0.09,0.31,0.3,0.2,7.43,3.33,1.1,3.06,15.34,26.54,3.15,14.29,4.99,20.95,14.74,29.52,0.13,37.29,0.65,20.47,11.94
81,0.24,0.23,0.3,0.08,0.15,7.7,10.0,1.22,6.07,6.09,19.77,16.51,19.5,4.32,21.34,12.47,21.29,4.83,29.55,17.53,9.6,17.2
82,0.22,0.25,0.15,0.34,0.04,9.53,6.67,2.91,5.94,1.77,16.05,1.2,25.5,4.22,24.12,27.14,5.07,31.09,17.02,14.01,1.56,31.25
83,0.21,0.43,0.05,0.16,0.15,3.8,10.0,1.2,6.95,8.62,0.53,25.65,12.09,15.08,25.78,12.25,19.98,16.57,40.15,9.26,9.93,4.11
84,0.46,0.06,0.35,0.11,0.02,5.37,6.67,6.85,2.99,21.71,3.2,32.24,0.74,7.04,17.48,17.59,18.52,15.15,23.89,9.69,22.04,10.71
85,0.38,0.3,0.26,0.01,0.05,3.99,1.0,1.97,4.98,3.62,22.48,17.95,28.5,19.68,6.58,1.19,19.71,19.31,23.98,20.79,8.81,7.4
86,0.27,0.27,0.27,0.14,0.05,4.68,6.67,4.46,5.47,26.34,20.59,3.29,2.68,10.49,19.6,17.01,7.75,4.04,7.24,38.83,6.99,35.15
87,0.11,0.06,0.28,0.35,0.2,3.32,3.33,5.01,9.28,8.72,1.64,10.57,15.58,6.77,17.72,39.0,1.72,28.57,9.29,21.95,21.77,16.7
88,0.28,0.1,0.39,0.06,0.17,3.21,3.33,1.61,5.51,19.33,15.87,3.58,23.06,8.25,12.45,17.46,23.41,7.43,38.2,13.85,7.59,9.52
89,0.25,0.28,0.31,0.01,0.15,3.73,10.0,1.81,2.52,4.65,1.6,29.31,26.8,9.19,7.23,21.22,24.91,24.27,21.28,0.94,20.42,8.18
90,0.01,0.17,0.39,0.14,0.29,9.77,10.0,7.58,2.81,9.46,16.51,1.59,3.64,7.66,17.57,43.57,0.74,8.89,8.23,40.15,12.01,29.98
91,0.05,0.31,0.25,0.38,0.01,3.35,10.0,7.77,9.44,4.92,10.73,2.08,25.25,10.81,12.43,33.78,21.4,8.88,21.02,12.34,11.02,25.34
92,0.03,0.28,0.03,0.13,0.53,6.13,1.0,6.69,8.0,16.73,23.24,10.65,8.9,21.78,8.05,10.65,7.14,0.42,30.67,32.79,25.97,3.01
93,0.28,0.24,0.15,0.28,0.05,9.46,3.33,9.19,3.6,8.34,7.32,13.93,22.64,6.62,15.98,25.17,6.59,1.92,29.73,8.62,25.43,27.71
94,0.06,0.21,0.12,0.32,0.29,3.13,1.0,9.31,3.28,10.02,8.49,13.79,10.62,10.94,23.25,22.89,24.19,28.63,23.14,10.58,0.96,12.5
95,0.05,0.21,0.29,0.25,0.2,5.49,1.0,9.46,7.05,12.05,18.81,10.21,3.25,26.57,9.54,19.57,7.74,23.67,16.11,23.69,17.28,11.51
96,0.33,0.11,0.22,0.18,0.16,7.73,3.33,5.25,6.02,1.88,1.34,16.94,19.84,18.77,21.16,20.07,32.34,7.3,23.75,13.35,6.21,17.05
97,0.12,0.3,0.19,0.18,0.21,4.35,6.67,2.96,1.89,4.55,3.01,17.69,24.39,16.41,18.42,15.53,13.95,27.12,22.13,0.04,26.91,9.85
98,0.28,0.26,0.02,0.35,0.09,6.62,10.0,7.1,9.16,15.38,8.85,19.51,21.79,10.2,4.86,19.41,16.08,20.5,8.43,15.28,13.42,26.29
99,0.32,0.07,0.12,0.28,0.21,1.03,6.67,7.27,1.77,18.95,4.58,18.39,5.05,12.45,17.09,23.49,25.74,20.78,2.75,33.52,11.73,5.48
100,0.49,0.06,0.12,0.15,0.18,5.88,10.0,5.23,7.43,9.01,3.71,0.29,29.71,14.22,27.45,15.61,16.72,2.7,17.43,16.01,23.92,23.22
101,0.4,0.03,0.25,0.03,0.29,4.32,3.33,4.35,6.21,16.37,4.05,25.54,17.79,11.31,15.99,8.95,25.68,9.08,19.45,14.91,15.99,14.89
102,0.26,0.26,0.24,0.23,0.01,8.13,6.67,1.16,8.81,26.75,11.09,10.9,8.98,3.11,15.47,23.7,3.38,27.78,18.77,18.09,9.54,22.44
103,0.27,0.08,0.09,0.3,0.26,5.62,1.0,1.92,2.66,6.18,6.15,35.05,25.3,1.33,25.7,0.29,27.24,4.49,17.19,7.95,27.35,15.78
104,0.11,0.19,0.26,0.23,0.21,2.19,1.0,4.06,4.5,1.88,20.52,10.93,25.5,19.99,13.51,7.67,21.12,23.96,7.21,23.99,15.28,8.44
105,0.14,0.05,0.36,0.11,0.34,3.95,1.0,4.43,9.58,20.59,15.34,4.12,13.62,18.24,23.57,4.52,25.91,13.29,21.41,20.72,5.0,13.67
106,0.26,0.1,0.16,0.3,0.18,4.91,10.0,2.26,2.37,20.25,13.21,21.15,13.3,4.64,13.08,14.37,18.52,16.93,4.21,25.92,5.9,28.52
107,0.11,0.3,0.2,0.05,0.34,7.72,6.67,6.44,7.87,3.68,3.95,17.27,30.2,15.22,26.05,3.63,19.41,21.96,12.02,15.27,20.71,10.63
108,0.21,0.22,0.02,0.0,0.55,4.93,10.0,7.46,2.98,18.14,20.72,37.16,2.84,2.02,12.11,7.01,14.47,31.6,20.46,9.48,2.1,21.89
109,0.27,0.25,0.09,0.03,0.36,9.14,6.67,7.43,6.98,1.8,18.88,20.92,19.15,10.94,12.85,15.46,29.04,24.53,11.11,24.67,1.22,9.43
110,0.42,0.31,0.0,0.25,0.02,3.21,1.0,3.2,7.11,0.18,27.2,7.51,11.11,25.2,5.8,23.0,17.13,22.27,19.88,7.03,12.58,21.11
111,0.19,0.33,0.06,0.05,0.37,4.02,1.0,7.6,6.73,3.71,11.55,22.57,4.75,20.0,20.87,16.55,12.42,10.65,18.52,9.81,34.09,14.51
112,0.12,0.1,0.23,0.11,0.44,3.94,3.33,4.02,5.48,16.15,18.34,34.62,4.87,1.02,4.37,20.63,25.74,8.0,28.22,19.98,5.5,12.56
113,0.12,0.22,0.24,0.38,0.04,8.06,6.67,6.71,1.04,3.76,16.79,20.56,3.8,15.82,22.41,16.86,10.87,26.54,23.85,12.44,4.6,21.7
114,0.19,0.27,0.09,0.22,0.23,2.38,10.0,2.64,6.17,12.58,7.12,12.1,14.39,24.22,17.52,12.07,23.7,10.75,25.01,9.7,5.88,24.96
115,0.09,0.04,0.23,0.32,0.32,7.55,1.0,8.44,2.95,23.03,19.37,19.91,25.8,0.14,2.28,9.47,34.42,0.28,30.75,16.44,5.19,12.92
116,0.04,0.21,0.26,0.29,0.2,5.88,1.0,1.6,6.29,9.94,12.46,18.46,3.64,24.71,14.33,16.46,20.36,8.88,2.26,5.69,10.14,52.67
117,0.15,0.24,0.13,0.22,0.26,8.22,10.0,8.19,3.05,16.94,9.18,16.46,13.31,15.51,15.67,12.93,5.05,29.45,7.2,12.34,26.42,19.54
118,0.22,0.08,0.11,0.37,0.22,3.65,1.0,5.68,1.58,13.09,15.9,14.01,18.32,21.72,15.08,1.88,17.62,14.4,21.15,26.48,4.45,15.9
119,0.08,0.22,0.24,0.23,0.23,9.7,6.67,9.42,6.33,4.85,16.75,13.56,17.27,19.56,13.44,14.57,21.43,16.21,12.06,18.07,17.89,14.34
120,0.38,0.27,0.24,0.07,0.04,5.16,6.67,1.09,3.47,6.34,24.19,6.92,3.18,19.93,33.33,6.11,6.23,11.74,2.08,11.96,30.29,37.7
121,0.21,0.13,0.16,0.3,0.2,8.89,10.0,4.04,4.26,16.55,17.86,17.87,17.43,1.92,12.3,16.07,34.66,17.32,3.13,13.27,24.5,7.12
122,0.16,0.38,0.04,0.07,0.35,1.46,6.67,6.69,1.32,13.88,13.46,22.07,2.67,30.53,0.63,16.76,0.75,23.53,26.41,4.0,21.67,23.64
123,0.2,0.26,0.08,0.03,0.43,2.91,10.0,2.74,9.94,13.83,1.03,22.28,8.64,20.09,22.42,11.71,7.83,24.9,2.76,24.08,10.95,29.48
124,0.25,0.19,0.24,0.08,0.24,4.95,3.33,4.5,8.36,23.06,18.71,21.77,1.56,14.13,9.94,10.83,6.76,17.64,17.69,21.67,22.84,13.4
125,0.23,0.3,0.25,0.04,0.18,8.6,6.67,9.91,1.82,5.03,18.38,3.38,30.38,25.53,15.83,1.47,31.54,5.42,4.77,30.34,7.94,19.99
126,0.12,0.15,0.3,0.29,0.14,5.22,6.67,9.18,3.87,22.21,14.12,9.13,11.2,14.97,21.28,7.09,0.15,31.47,23.1,17.75,11.04,16.49
127,0.22,0.23,0.22,0.06,0.27,7.38,6.67,3.95,3.72,27.13,25.77,9.21,4.18,4.39,13.88,15.44,6.1,4.06,19.85,32.08,7.23,30.68
128,0.18,0.48,0.17,0.14,0.03,1.52,1.0,5.25,1.34,15.37,13.87,9.79,19.49,7.5,17.43,16.55,9.96,21.79,16.8,21.33,15.54,14.58
129,0.26,0.33,0.09,0.06,0.26,9.34,6.67,4.53,4.56,19.18,6.18,6.28,18.44,13.85,18.51,17.56,20.5,22.45,10.52,13.92,24.29,8.32
130,0.29,0.21,0.31,0.17,0.02,5.33,6.67,1.36,4.22,10.95,26.6,24.57,0.57,3.74,4.18,29.39,16.32,31.42,10.31,16.74,2.95,22.26
131,0.03,0.18,0.16,0.33,0.3,6.33,10.0,8.36,2.07,16.57,7.78,16.12,10.32,17.19,17.6,14.42,27.76,2.2,26.89,20.09,13.32,9.74
132,0.06,0.42,0.33,0.18,0.01,6.76,1.0,7.8,2.73,10.14,16.61,13.31,15.18,23.28,1.98,19.5,7.86,0.9,27.73,18.47,4.37,40.67
133,0.32,0.2,0.16,0.11,0.21,5.58,3.33,8.08,7.05,13.76,29.03,26.88,0.92,14.8,0.71,13.9,11.57,23.69,29.59,1.31,1.58,32.26
134,0.2,0.21,0.19,0.12,0.28,9.02,3.33,3.88,9.34,6.05,22.38,17.55,24.12,6.23,11.65,12.02,24.29,19.67,25.4,7.89,14.98,7.77
135,0.24,0.09,0.22,0.25,0.2,5.03,6.67,2.2,6.42,17.81,15.83,18.52,10.11,13.56,14.32,9.85,23.92,0.62,29.86,1.97,32.51,11.12
136,0.4,0.26,0.23,0.09,0.02,5.09,3.33,1.69,4.04,12.17,21.98,16.44,1.86,12.05,15.99,19.51,30.18,1.54,5.45,18.42,20.27,24.14
137,0.27,0.01,0.16,0.41,0.15,2.49,6.67,8.34,7.65,20.78,6.46,27.68,8.93,15.88,7.08,13.19,16.56,28.43,15.17,28.78,7.92,3.14
138,0.08,0.16,0.18,0.29,0.29,3.1,1.0,5.77,5.16,11.94,12.68,19.71,26.92,17.99,7.86,2.9,5.38,17.23,19.41,22.82,13.59,21.57
139,0.03,0.31,0.26,0.33,0.07,5.65,1.0,2.23,8.48,6.7,8.37,34.79,7.26,8.37,27.75,6.76,18.23,18.96,1.25,27.82,21.41,12.33
140,0.4,0.26,0.15,0.01,0.18,1.59,10.0,9.59,4.92,0.55,22.51,0.59,15.55,22.08,19.19,19.53,10.72,21.04,22.71,14.35,18.92,12.26
141,0.14,0.13,0.14,0.37,0.22,1.47,3.33,8.72,6.46,16.06,13.19,10.86,17.61,7.74,13.75,20.79,17.21,9.13,13.26,20.27,17.33,22.8
142,0.21,0.32,0.04,0.29,0.14,3.11,6.67,5.74,2.81,28.12,9.01,24.5,6.61,12.94,1.72,17.1,8.23,14.15,16.38,21.16,18.78,21.3
143,0.09,0.29,0.27,0.15,0.2,5.25,10.0,2.68,3.86,21.05,15.31,21.39,0.89,15.23,20.88,5.25,21.41,23.62,8.01,21.04,12.38,13.54
144,0.25,0.14,0.23,0.13,0.25,5.64,10.0,8.39,3.15,16.72,24.27,18.31,5.79,9.22,18.06,7.63,5.45,22.9,14.89,16.69,11.28,28.79
145,0.37,0.0,0.26,0.17,0.2,1.38,6.67,2.82,2.71,7.4,12.68,15.15,16.81,15.83,15.53,16.6,23.08,29.15,36.26,4.05,4.46,3.0
146,0.46,0.01,0.11,0.15,0.27,7.65,3.33,4.55,8.58,7.27,17.25,23.64,0.95,21.67,4.79,24.43,8.99,29.99,3.61,14.24,15.55,27.62
147,0.17,0.03,0.28,0.29,0.23,4.3,10.0,3.85,6.57,9.66,14.8,10.99,5.22,14.3,23.27,21.76,18.77,15.26,18.76,15.72,19.55,11.94
148,0.31,0.09,0.2,0.34,0.06,8.82,10.0,5.65,4.43,12.53,26.51,18.45,2.96,4.73,24.94,9.88,2.98,27.25,27.54,17.34,17.53,7.36
149,0.31,0.15,0.25,0.23,0.06,9.71,10.0,8.15,8.05,28.21,18.3,11.0,3.56,2.1,11.22,25.61,14.94,25.55,8.75,18.75,30.3,1.71
