user_id,investment_goal_long_term_growth,investment_goal_stable_income,investment_goal_balanced_approach,investment_goal_high_risk_high_reward,investment_goal_short_term_trading,risk_tolerance,holding_period_response,holding_period_reaction_strength,expected_return_score,product_preference_stocks,product_preference_etfs,product_preference_government_bonds,product_preference_corporate_bonds,product_preference_municipal_bonds,product_preference_savings_bonds,product_preference_derivatives,product_preference_alternative_investments,factor_weight_investment_goals,factor_weight_risk_tolerance,factor_weight_holding_period,factor_weight_return_score,factor_weight_product_preference
20,0.07,0.3,0.28,0.24,0.11,9.08,3.33,5.44,5.04,2.36,5.3,30.16,16.36,5.12,30.66,4.39,5.65,14.23,10.55,16.25,58.64,0.33
21,0.29,0.05,0.39,0.17,0.1,2.48,10.0,9.7,2.3,2.66,7.86,5.57,12.33,15.5,25.74,2.35,27.99,25.98,8.69,11.93,51.53,1.87
22,0.3,0.02,0.19,0.13,0.36,8.43,3.33,5.23,1.59,16.07,16.49,19.16,1.12,16.18,5.29,2.43,23.26,22.89,12.04,12.13,29.22,23.72
23,0.1,0.1,0.21,0.27,0.32,8.72,1.0,7.42,3.15,16.93,9.29,10.46,12.99,17.15,5.12,18.52,9.54,11.5,8.11,7.65,50.53,22.21
24,0.37,0.02,0.01,0.28,0.32,3.71,6.67,6.05,6.66,7.9,16.15,21.23,8.91,10.06,17.04,1.79,16.92,8.84,21.54,30.54,3.81,35.27
25,0.27,0.23,0.11,0.33,0.06,9.75,1.0,4.55,6.14,0.27,16.71,23.44,10.45,0.66,17.43,4.9,26.14,17.21,31.2,3.56,9.83,38.2
26,0.41,0.05,0.38,0.02,0.14,3.25,6.67,5.27,2.9,20.72,19.39,9.0,9.58,17.26,3.67,18.38,2.0,34.89,8.67,15.24,22.34,18.86
27,0.13,0.32,0.32,0.08,0.15,1.37,6.67,2.75,9.18,35.17,12.37,17.51,12.03,8.74,7.59,1.44,5.15,33.19,21.02,11.13,30.32,4.34
28,0.21,0.31,0.21,0.25,0.02,9.27,6.67,6.86,6.9,5.86,24.31,25.98,0.18,0.74,12.01,21.76,9.16,16.62,39.33,2.35,17.91,23.79
29,0.06,0.2,0.12,0.24,0.38,3.31,3.33,8.22,5.04,14.99,11.13,5.7,8.56,7.26,16.59,17.53,18.24,32.46,14.16,28.51,10.32,14.55
30,0.13,0.03,0.26,0.31,0.27,5.86,3.33,9.1,9.72,11.53,20.59,16.95,5.82,4.27,15.62,10.41,14.81,17.63,28.61,11.06,4.76,37.94
31,0.31,0.18,0.21,0.16,0.14,3.45,10.0,4.33,8.87,16.88,9.4,1.33,15.41,0.54,11.23,24.0,21.21,27.67,33.81,0.52,4.16,33.84
32,0.3,0.16,0.2,0.12,0.22,1.4,10.0,8.83,1.96,4.07,8.05,16.28,10.73,19.1,27.51,0.89,13.37,28.03,0.14,17.38,25.93,28.52
33,0.06,0.09,0.26,0.26,0.33,5.26,6.67,2.02,5.9,12.26,19.15,12.6,3.34,28.34,2.69,21.0,0.62,44.34,15.3,32.22,2.43,5.71
34,0.14,0.2,0.17,0.25,0.24,5.38,10.0,8.4,1.8,2.37,6.49,13.21,15.42,7.64,14.25,19.04,21.58,8.25,29.17,24.57,20.21,17.8
35,0.2,0.34,0.06,0.3,0.1,9.54,10.0,9.67,8.68,25.13,14.94,8.95,7.05,11.32,24.23,1.43,6.95,12.44,21.44,11.03,28.18,26.91
36,0.05,0.23,0.29,0.08,0.35,2.12,6.67,4.01,6.37,11.31,5.51,17.47,23.7,1.72,18.33,20.75,1.21,5.91,16.54,18.57,31.72,27.26
37,0.1,0.24,0.2,0.36,0.1,2.03,6.67,4.38,3.61,21.3,1.86,20.09,6.53,19.63,0.72,18.38,11.49,12.35,21.2,21.99,24.51,19.95
38,0.28,0.18,0.01,0.48,0.05,8.05,10.0,4.0,8.5,16.54,14.07,8.2,14.95,14.37,14.97,9.46,7.44,21.62,3.25,29.9,19.82,25.41
39,0.26,0.2,0.1,0.28,0.16,9.07,1.0,5.58,1.31,27.09,6.5,13.31,9.9,12.17,0.69,25.86,4.48,25.59,32.67,8.87,24.63,8.24
40,0.08,0.29,0.4,0.15,0.08,2.6,6.67,1.42,6.29,14.9,17.43,7.13,8.38,4.17,14.61,19.41,13.97,12.77,25.9,15.5,12.31,33.52
41,0.4,0.37,0.16,0.03,0.04,9.34,1.0,2.33,5.83,14.16,19.89,4.1,17.53,2.9,13.84,20.77,6.81,11.24,22.77,17.65,21.11,27.23
42,0.38,0.02,0.14,0.36,0.1,8.06,6.67,9.79,7.16,7.29,10.54,8.15,19.12,4.59,20.53,17.29,12.49,19.98,19.73,13.26,22.12,24.91
43,0.08,0.12,0.26,0.33,0.21,7.28,3.33,7.75,3.8,13.19,10.3,7.12,11.14,15.13,12.38,9.89,20.85,11.01,25.36,24.9,33.48,5.25
44,0.4,0.26,0.2,0.09,0.05,5.75,10.0,6.89,4.12,12.07,8.1,1.28,4.51,22.47,26.67,3.98,20.92,0.86,27.26,13.73,16.56,41.59
45,0.0,0.11,0.34,0.3,0.25,5.0,10.0,1.87,6.92,21.33,14.59,6.47,10.63,11.14,12.73,19.78,3.33,13.55,24.13,9.99,30.56,21.77
46,0.17,0.26,0.14,0.4,0.03,6.41,1.0,2.79,3.43,24.42,13.38,11.88,5.77,9.09,7.93,16.01,11.52,23.48,3.99,50.01,12.47,10.05
47,0.24,0.03,0.09,0.35,0.29,3.05,3.33,3.18,9.01,0.5,7.15,18.3,8.93,17.63,15.75,16.03,15.71,8.59,30.17,10.63,20.53,30.08
48,0.13,0.31,0.22,0.27,0.07,6.18,10.0,2.99,8.47,5.07,16.73,6.39,12.43,18.95,9.68,12.85,17.9,9.8,22.96,24.15,23.74,19.35
49,0.03,0.24,0.16,0.29,0.28,10.0,10.0,4.4,9.51,2.16,10.2,18.84,8.32,21.92,10.33,18.05,10.18,11.81,21.26,3.67,6.79,56.47
50,0.08,0.32,0.42,0.16,0.02,3.58,6.67,4.33,5.05,17.59,0.28,9.16,7.88,1.75,18.72,22.89,21.73,6.04,28.11,36.84,28.4,0.61
51,0.15,0.19,0.1,0.29,0.27,4.69,1.0,3.74,4.91,20.74,10.27,4.65,5.99,22.21,20.55,6.53,9.06,26.53,21.22,5.37,35.34,11.54
52,0.09,0.26,0.31,0.04,0.3,5.62,1.0,4.8,8.59,9.66,17.87,15.15,14.05,5.54,16.7,12.08,8.95,18.86,0.38,10.64,41.89,28.23
53,0.1,0.24,0.32,0.25,0.09,9.88,10.0,1.2,1.98,19.99,17.58,13.18,2.48,11.61,14.21,19.96,0.99,21.87,24.07,13.91,17.49,22.66
54,0.17,0.14,0.12,0.31,0.26,6.97,3.33,7.04,9.54,7.43,1.41,9.26,20.92,15.48,8.66,3.85,32.99,5.45,27.42,21.79,0.04,45.3
55,0.24,0.14,0.33,0.11,0.18,6.02,10.0,8.01,2.03,18.82,16.86,9.36,15.17,8.78,6.3,5.55,19.16,2.66,14.11,45.44,19.56,18.23
56,0.19,0.36,0.0,0.06,0.39,2.65,3.33,3.48,1.87,4.87,8.17,5.55,18.98,23.54,22.3,3.4,13.19,31.07,34.11,28.96,1.89,3.97
57,0.06,0.29,0.11,0.33,0.21,5.11,6.67,3.4,4.64,14.13,12.29,21.17,7.45,2.08,15.47,7.53,19.88,18.44,8.49,35.52,6.67,30.88
58,0.15,0.09,0.01,0.34,0.41,3.96,6.67,5.91,2.64,3.75,20.55,2.84,18.22,8.64,17.88,10.11,18.01,27.5,23.23,6.98,26.69,15.6
59,0.05,0.2,0.24,0.11,0.4,3.31,1.0,9.79,8.42,6.4,13.68,12.24,11.82,13.71,10.28,11.91,19.96,11.52,27.06,31.94,24.61,4.87
60,0.24,0.14,0.31,0.11,0.2,9.16,10.0,3.22,2.77,0.17,18.22,3.95,19.97,2.42,4.32,37.91,13.04,1.34,24.5,9.16,40.87,24.13
61,0.31,0.13,0.34,0.16,0.06,4.36,6.67,2.19,4.98,3.01,11.45,10.67,5.68,19.71,11.35,20.83,17.3,31.41,34.82,2.39,0.76,30.62
62,0.48,0.31,0.13,0.05,0.03,2.85,3.33,9.56,4.98,9.75,19.31,8.39,5.46,20.37,9.2,11.14,16.38,1.65,35.53,24.02,12.33,26.47
63,0.04,0.26,0.14,0.21,0.35,6.27,3.33,6.72,5.54,16.79,1.1,17.07,2.81,28.76,2.52,13.35,17.6,7.47,28.04,1.65,4.36,58.48
64,0.32,0.11,0.22,0.13,0.22,6.65,10.0,2.76,3.82,23.3,9.97,13.14,1.72,23.38,11.21,13.9,3.38,31.79,9.87,32.05,23.27,3.02
65,0.47,0.15,0.19,0.07,0.12,6.45,1.0,1.14,8.08,12.45,14.33,10.14,26.1,13.71,0.94,21.56,0.77,24.45,14.26,25.73,15.12,20.44
66,0.12,0.29,0.3,0.01,0.28,1.63,1.0,5.6,4.67,2.91,9.27,17.08,10.4,5.47,21.21,22.03,11.63,27.82,24.21,35.49,10.21,2.27
67,0.41,0.06,0.14,0.07,0.32,2.67,3.33,7.26,2.05,17.31,17.73,10.48,10.96,6.88,7.72,15.26,13.66,34.47,2.07,13.74,27.44,22.28
68,0.11,0.19,0.0,0.35,0.35,3.22,3.33,4.18,7.29,19.54,5.48,12.66,9.18,17.78,0.59,18.1,16.67,23.69,2.85,27.12,31.34,15.0
69,0.14,0.17,0.18,0.11,0.4,7.35,3.33,3.64,9.22,16.13,17.94,15.89,18.41,0.96,6.17,12.55,11.95,17.52,13.9,24.57,24.51,19.5
70,0.25,0.24,0.24,0.13,0.14,1.51,3.33,3.9,7.47,10.55,12.88,5.87,17.16,20.01,14.87,11.62,7.04,13.46,17.29,7.22,35.35,26.68
71,0.19,0.16,0.27,0.07,0.31,4.14,6.67,8.69,8.51,17.84,19.05,5.4,18.19,9.62,19.16,3.68,7.06,19.71,12.83,22.74,16.55,28.17
72,0.03,0.12,0.32,0.32,0.21,3.25,10.0,7.59,1.59,20.32,19.92,5.9,8.07,17.86,12.33,8.44,7.16,8.76,28.91,27.44,14.16,20.73
73,0.23,0.23,0.17,0.18,0.19,4.99,3.33,9.31,8.78,24.21,19.4,1.89,3.8,15.19,20.57,1.2,13.74,17.23,10.32,17.6,26.08,28.77
74,0.19,0.03,0.39,0.37,0.02,8.99,3.33,9.89,3.29,16.17,27.27,2.61,9.36,25.57,1.22,15.45,2.35,15.37,9.7,28.74,21.4,24.79
75,0.13,0.24,0.44,0.15,0.04,8.55,6.67,8.48,1.33,13.81,8.71,7.48,14.09,11.03,11.52,18.72,14.64,12.27,27.95,27.92,9.19,22.67
76,0.02,0.23,0.11,0.4,0.24,8.91,10.0,1.68,7.6,0.58,26.61,24.57,1.24,27.93,1.03,15.24,2.8,22.04,8.98,16.53,22.51,29.94
77,0.06,0.41,0.12,0.07,0.34,4.16,10.0,4.05,3.2,6.78,20.33,18.51,14.96,3.82,0.68,19.78,15.14,20.6,29.51,9.03,29.78,11.08
78,0.09,0.01,0.35,0.05,0.5,5.86,3.33,6.83,8.87,8.03,14.41,17.32,13.31,5.77,16.8,4.3,20.06,21.73,8.9,3.43,31.47,34.47
79,0.07,0.13,0.41,0.03,0.36,5.95,3.33,6.03,6.03,26.16,12.07,2.95,20.36,3.39,14.6,11.87,8.6,9.56,31.39,2.42,35.03,21.6
80,0.18,0.04,0.27,0.27,0.24,8.92,6.67,4.98,2.32,14.0,14.37,16.04,6.31,13.47,16.31,10.12,9.38,6.66,34.14,12.35,7.86,38.99
81,0.27,0.06,0.07,0.33,0.27,2.1,1.0,7.08,1.45,0.39,3.42,10.71,15.1,17.01,6.05,26.07,21.25,33.61,6.49,18.36,8.42,33.12
82,0.21,0.21,0.22,0.09,0.27,5.16,6.67,5.27,8.43,14.83,12.6,10.92,0.71,22.48,10.53,23.1,4.83,10.78,23.84,17.15,38.72,9.51
83,0.19,0.29,0.13,0.37,0.02,1.48,1.0,5.57,1.64,30.51,9.24,2.52,10.75,11.09,23.28,5.62,6.99,20.14,19.33,16.76,28.53,15.24
84,0.14,0.19,0.26,0.27,0.14,2.77,6.67,1.03,4.9,12.97,13.21,18.08,18.5,3.27,11.74,21.0,1.23,18.97,36.62,10.75,16.26,17.4
85,0.32,0.1,0.32,0.06,0.2,2.89,3.33,1.52,4.64,15.35,16.37,6.59,12.78,5.56,16.25,16.49,10.61,24.24,38.5,20.59,10.24,6.43
86,0.01,0.07,0.08,0.35,0.49,5.0,10.0,8.65,9.84,17.74,22.93,3.52,22.4,0.15,7.62,16.88,8.76,5.59,17.74,29.67,31.73,15.27
87,0.25,0.27,0.11,0.23,0.14,5.38,3.33,9.76,3.09,5.68,9.45,22.3,7.57,11.75,22.05,8.84,12.36,5.07,24.11,26.52,25.28,19.02
88,0.11,0.24,0.3,0.11,0.24,2.7,1.0,4.25,9.53,18.83,4.87,6.93,17.72,2.49,21.3,13.94,13.92,28.37,6.35,25.91,16.56,22.81
89,0.43,0.1,0.17,0.23,0.07,3.98,10.0,7.74,6.08,11.62,0.58,22.23,21.79,4.66,21.99,4.23,12.9,8.16,44.12,3.53,16.68,27.51
90,0.06,0.3,0.29,0.24,0.11,1.13,3.33,9.18,7.68,18.67,2.11,8.1,2.43,13.96,15.85,17.58,21.3,26.65,4.35,34.19,17.57,17.24
91,0.15,0.15,0.29,0.22,0.19,1.52,10.0,7.13,1.19,10.09,3.22,10.28,29.43,30.92,7.67,6.92,1.47,20.57,37.79,23.43,12.67,5.54
92,0.05,0.36,0.11,0.02,0.46,9.57,10.0,4.33,3.99,16.79,29.09,1.58,19.37,18.01,12.59,0.22,2.35,32.34,28.75,12.28,9.0,17.63
93,0.23,0.15,0.03,0.23,0.36,6.3,1.0,4.69,7.55,20.1,13.0,16.25,23.0,6.41,0.29,6.81,14.14,1.51,26.93,12.0,24.14,35.42
94,0.12,0.22,0.12,0.21,0.33,2.43,10.0,4.18,2.39,6.61,12.86,11.14,8.01,4.69,12.71,19.06,24.92,30.09,35.54,18.36,10.17,5.84
95,0.33,0.1,0.19,0.09,0.29,9.16,6.67,7.59,9.03,10.63,17.05,12.69,16.17,8.07,13.54,8.88,12.97,27.0,22.56,22.3,6.84,21.3
96,0.19,0.17,0.18,0.21,0.25,7.85,6.67,8.34,3.74,8.78,25.93,9.43,9.23,23.94,0.06,3.87,18.76,13.1,16.92,19.69,25.95,24.34
97,0.26,0.11,0.11,0.51,0.01,8.36,6.67,7.63,1.37,18.87,16.85,4.47,5.33,18.25,10.72,8.25,17.26,12.93,19.08,21.22,35.64,11.13
98,0.32,0.15,0.12,0.23,0.18,6.15,1.0,2.55,9.05,19.02,14.89,15.15,6.09,18.66,4.31,12.8,9.08,4.81,30.48,16.8,33.87,14.04
99,0.14,0.21,0.2,0.25,0.2,7.26,10.0,6.34,8.7,20.03,20.7,4.76,1.43,10.43,24.1,14.23,4.32,14.83,20.18,25.23,20.49,19.27
100,0.23,0.21,0.17,0.29,0.1,7.64,6.67,8.88,7.22,30.51,0.43,18.99,7.04,5.73,1.88,20.6,14.82,27.2,10.95,11.38,35.04,15.43
101,0.11,0.22,0.42,0.21,0.04,3.59,10.0,1.6,2.17,11.99,2.61,22.76,7.76,3.86,13.8,21.68,15.54,12.22,24.45,23.06,35.84,4.43
102,0.31,0.31,0.03,0.17,0.18,6.06,6.67,4.59,7.67,15.7,18.52,18.96,19.54,1.49,12.76,10.03,3.0,13.83,10.44,53.76,0.64,21.33
103,0.38,0.02,0.27,0.15,0.18,5.09,6.67,4.03,2.36,18.39,17.33,3.21,1.6,7.94,18.4,16.56,16.57,1.48,20.25,52.38,18.01,7.88
104,0.51,0.02,0.34,0.03,0.1,8.48,1.0,3.74,6.88,30.59,30.62,20.66,2.02,1.45,3.44,6.42,4.8,6.16,35.92,3.31,42.35,12.26
105,0.08,0.17,0.3,0.34,0.11,9.42,3.33,1.17,9.83,12.83,8.02,11.61,14.14,20.69,23.08,2.31,7.32,3.21,45.74,22.41,1.53,27.11
106,0.13,0.1,0.36,0.23,0.18,8.03,10.0,7.76,9.84,15.62,2.63,17.46,20.87,1.47,7.55,17.96,16.44,32.13,31.13,4.86,21.65,10.23
107,0.2,0.33,0.0,0.39,0.08,9.19,1.0,4.08,3.13,18.81,17.4,5.7,11.69,17.05,19.29,9.74,0.32,8.7,2.36,36.65,26.15,26.14
108,0.27,0.2,0.13,0.35,0.05,5.84,1.0,2.49,2.11,20.54,12.32,22.18,6.89,1.78,10.99,4.16,21.14,15.26,42.17,24.77,5.65,12.15
109,0.21,0.18,0.22,0.2,0.19,7.27,3.33,1.47,9.67,24.04,2.99,23.51,19.71,10.26,2.58,12.17,4.74,26.77,28.93,6.09,10.51,27.7
110,0.22,0.17,0.28,0.03,0.3,9.52,1.0,1.98,2.93,19.16,7.29,12.21,10.3,11.83,1.65,9.06,28.5,9.01,30.12,24.7,25.01,11.16
111,0.23,0.18,0.25,0.22,0.12,3.09,6.67,7.58,8.65,8.85,8.25,20.16,10.16,17.07,5.56,12.18,17.77,16.18,25.71,10.67,26.4,21.04
112,0.17,0.19,0.08,0.2,0.36,5.62,10.0,1.56,1.54,2.56,14.81,11.18,12.62,17.91,10.94,15.95,14.03,13.75,29.39,31.16,13.53,12.17
113,0.05,0.15,0.38,0.36,0.06,7.1,1.0,4.22,7.7,14.56,18.84,14.7,8.13,15.71,12.72,1.89,13.45,20.42,27.33,19.12,12.07,21.06
114,0.26,0.08,0.09,0.23,0.34,2.16,6.67,7.95,4.55,9.86,12.34,17.98,11.04,8.08,18.14,5.6,16.96,17.21,21.94,17.98,21.39,21.48
115,0.27,0.13,0.25,0.04,0.31,1.94,10.0,2.24,8.18,5.97,0.76,13.49,8.35,19.38,19.19,9.0,23.86,18.78,8.69,18.9,24.27,29.36
116,0.31,0.05,0.35,0.27,0.02,1.19,3.33,9.74,6.49,9.06,14.87,7.82,5.49,19.9,6.39,36.41,0.06,39.05,18.51,22.46,4.02,15.96
117,0.28,0.08,0.1,0.25,0.29,1.14,3.33,8.18,3.46,3.86,16.65,2.51,20.2,19.08,16.16,5.78,15.76,12.4,4.8,18.44,22.42,41.94
118,0.1,0.16,0.24,0.29,0.21,7.21,1.0,2.02,7.09,14.49,5.39,5.62,18.49,1.43,8.55,21.84,24.19,28.26,23.73,7.9,27.64,12.47
119,0.25,0.2,0.23,0.14,0.18,9.67,1.0,9.93,3.3,13.77,9.26,17.21,18.2,3.53,9.28,13.73,15.02,24.3,21.69,15.94,14.94,23.13
120,0.25,0.15,0.33,0.04,0.23,9.66,3.33,7.53,2.35,11.28,22.72,5.86,16.57,2.32,11.22,12.08,17.95,8.59,10.01,47.67,24.68,9.05
121,0.16,0.3,0.24,0.0,0.3,3.41,3.33,8.25,6.64,7.09,9.68,16.24,15.7,16.29,0.31,20.01,14.68,21.05,18.4,31.51,23.24,5.8
122,0.2,0.16,0.22,0.22,0.2,5.71,10.0,4.51,2.41,17.83,3.53,9.12,3.8,21.48,7.88,28.03,8.33,10.67,30.26,51.22,0.71,7.14
123,0.33,0.31,0.05,0.27,0.04,1.07,3.33,2.98,3.83,25.61,3.86,11.53,8.58,5.94,3.1,25.67,15.71,33.22,15.08,3.29,11.43,36.98
124,0.17,0.12,0.36,0.08,0.27,6.83,10.0,8.86,4.83,17.61,9.72,8.55,18.19,11.1,18.98,14.72,1.13,25.92,24.81,12.04,9.29,27.94
125,0.24,0.26,0.2,0.06,0.24,6.29,1.0,6.15,9.64,11.94,20.39,2.83,17.35,12.66,1.29,11.9,21.64,13.64,39.03,8.74,33.07,5.52
126,0.35,0.1,0.41,0.14,0.0,5.46,10.0,8.7,3.63,14.9,11.66,16.76,0.7,12.99,18.63,5.29,19.07,23.27,15.15,24.78,10.68,26.12
127,0.3,0.04,0.19,0.34,0.13,8.8,1.0,2.31,4.31,24.13,21.92,4.62,12.02,7.22,7.26,3.96,18.87,9.28,15.8,48.52,0.34,26.06
128,0.31,0.28,0.14,0.17,0.1,5.84,1.0,1.57,9.35,0.09,18.58,3.44,12.71,3.1,18.32,22.76,21.0,21.02,10.59,6.33,29.15,32.91
129,0.15,0.29,0.03,0.19,0.34,9.87,1.0,9.09,1.05,7.13,14.41,2.55,5.36,25.49,12.93,12.4,19.73,22.44,19.36,37.38,5.54,15.28
130,0.41,0.11,0.11,0.35,0.02,2.83,1.0,7.56,4.72,10.89,7.6,14.07,23.02,14.75,18.45,8.33,2.89,18.82,8.78,26.21,17.9,28.29
131,0.12,0.32,0.03,0.15,0.38,1.87,10.0,3.73,6.32,7.44,16.09,8.17,19.63,2.79,14.19,15.65,16.04,6.27,31.86,46.99,14.2,0.68
132,0.31,0.18,0.09,0.22,0.2,3.13,6.67,8.44,6.17,4.75,11.11,19.14,14.2,9.68,14.84,11.17,15.11,20.13,25.44,0.35,33.3,20.78
133,0.51,0.15,0.21,0.07,0.06,9.66,6.67,2.16,9.65,14.15,19.86,12.64,16.73,24.04,2.54,6.05,3.99,35.73,15.99,4.09,8.6,35.59
134,0.25,0.12,0.18,0.17,0.28,7.05,1.0,1.02,9.61,18.65,12.17,12.88,20.45,15.3,12.98,1.02,6.55,27.04,13.42,32.13,24.56,2.85
135,0.05,0.36,0.02,0.38,0.19,1.43,3.33,7.4,7.33,19.04,0.17,17.54,19.16,17.42,10.86,14.09,1.72,19.84,28.01,13.07,13.59,25.49
136,0.02,0.22,0.25,0.19,0.32,9.07,10.0,2.18,5.76,13.33,8.64,20.39,11.17,8.03,11.43,7.87,19.14,12.02,20.27,27.28,24.46,15.97
137,0.28,0.1,0.11,0.36,0.15,7.01,1.0,9.77,3.24,12.57,13.64,18.71,19.33,3.8,18.4,12.04,1.51,16.11,4.65,22.69,25.17,31.38
138,0.31,0.17,0.12,0.14,0.26,2.53,3.33,5.25,9.58,22.43,11.94,8.95,1.9,19.64,19.8,4.67,10.67,28.51,27.47,0.86,11.74,31.42
139,0.06,0.32,0.19,0.07,0.36,7.98,10.0,9.38,5.58,6.41,5.59,12.27,15.47,14.99,18.19,15.66,11.42,23.06,28.97,25.85,15.63,6.49
140,0.33,0.12,0.16,0.22,0.17,9.03,10.0,7.31,5.08,8.58,11.84,16.02,1.7,1.13,23.62,24.54,12.57,0.69,28.29,23.43,40.91,6.68
141,0.27,0.2,0.16,0.14,0.23,4.64,1.0,1.94,7.24,8.38,18.28,12.71,5.02,7.61,17.55,9.97,20.48,21.43,1.84,31.47,20.52,24.74
142,0.42,0.17,0.04,0.28,0.09,8.56,10.0,4.38,7.51,9.86,1.81,24.03,26.3,2.28,7.75,26.18,1.79,39.55,3.93,14.58,39.78,2.16
143,0.14,0.21,0.25,0.23,0.17,1.95,1.0,4.85,5.04,11.65,10.07,7.09,6.29,22.06,8.58,20.5,13.76,7.29,44.25,1.37,40.37,6.72
144,0.24,0.23,0.13,0.14,0.26,1.66,6.67,1.69,6.31,17.48,17.52,23.47,4.28,7.16,13.72,2.07,14.3,32.22,12.72,3.06,15.97,36.03
145,0.11,0.12,0.3,0.22,0.25,5.52,3.33,8.13,5.01,19.03,15.29,0.47,4.43,15.43,17.44,11.89,16.02,8.52,21.95,5.21,43.9,20.42
146,0.32,0.28,0.1,0.14,0.16,7.88,10.0,4.39,4.23,14.3,10.59,16.53,2.82,4.99,18.84,8.52,23.41,6.35,27.57,24.87,23.59,17.62
147,0.14,0.21,0.28,0.24,0.13,1.83,6.67,4.59,6.5,11.37,2.09,16.86,17.68,10.49,21.67,0.58,19.26,23.83,25.17,16.87,26.87,7.26
148,0.38,0.23,0.07,0.09,0.23,3.35,3.33,3.05,6.17,12.16,19.57,6.52,16.59,18.94,6.06,16.42,3.74,15.73,26.46,16.02,5.48,36.31
149,0.17,0.22,0.2,0.04,0.37,6.72,10.0,3.64,9.39,8.69,17.02,10.6,9.78,2.82,17.59,16.85,16.65,23.9,32.55,26.28,9.27,8.0
